NP, frequency, FileName
차,1,/mnt/hgfs/share/Final_Report.pdf
학과,1,/mnt/hgfs/share/Final_Report.pdf
길,1,/mnt/hgfs/share/Final_Report.pdf
도중,1,/mnt/hgfs/share/Final_Report.pdf
위배,1,/mnt/hgfs/share/Final_Report.pdf
학번,1,/mnt/hgfs/share/Final_Report.pdf
스트림,1,/mnt/hgfs/share/Final_Report.pdf
속성,1,/mnt/hgfs/share/Final_Report.pdf
끔,1,/mnt/hgfs/share/Final_Report.pdf
즉각,1,/mnt/hgfs/share/Final_Report.pdf
수정,1,/mnt/hgfs/share/Final_Report.pdf
생성,1,/mnt/hgfs/share/Final_Report.pdf
처리,1,/mnt/hgfs/share/Final_Report.pdf
창,1,/mnt/hgfs/share/Final_Report.pdf
목적지,1,/mnt/hgfs/share/Final_Report.pdf
장점,1,/mnt/hgfs/share/Final_Report.pdf
손상,1,/mnt/hgfs/share/Final_Report.pdf
명령,1,/mnt/hgfs/share/Final_Report.pdf
끊어지지,1,/mnt/hgfs/share/Final_Report.pdf
가짜,1,/mnt/hgfs/share/Final_Report.pdf
활용,1,/mnt/hgfs/share/Final_Report.pdf
지도,1,/mnt/hgfs/share/Final_Report.pdf
매력,1,/mnt/hgfs/share/Final_Report.pdf
작용,1,/mnt/hgfs/share/Final_Report.pdf
가지,1,/mnt/hgfs/share/Final_Report.pdf
기간,1,/mnt/hgfs/share/Final_Report.pdf
관계,1,/mnt/hgfs/share/Final_Report.pdf
방향,1,/mnt/hgfs/share/Final_Report.pdf
비교,1,/mnt/hgfs/share/Final_Report.pdf
속도,1,/mnt/hgfs/share/Final_Report.pdf
성공,1,/mnt/hgfs/share/Final_Report.pdf
매개체,1,/mnt/hgfs/share/Final_Report.pdf
극대,1,/mnt/hgfs/share/Final_Report.pdf
손실,1,/mnt/hgfs/share/Final_Report.pdf
곳,1,/mnt/hgfs/share/Final_Report.pdf
한계,1,/mnt/hgfs/share/Final_Report.pdf
지연,1,/mnt/hgfs/share/Final_Report.pdf
변수,1,/mnt/hgfs/share/Final_Report.pdf
고정,1,/mnt/hgfs/share/Final_Report.pdf
시나리오,1,/mnt/hgfs/share/Final_Report.pdf
쿠,1,/mnt/hgfs/share/Final_Report.pdf
도구,1,/mnt/hgfs/share/Final_Report.pdf
테스트,1,/mnt/hgfs/share/Final_Report.pdf
구분,1,/mnt/hgfs/share/Final_Report.pdf
형성,1,/mnt/hgfs/share/Final_Report.pdf
수명,1,/mnt/hgfs/share/Final_Report.pdf
고안,1,/mnt/hgfs/share/Final_Report.pdf
필수,1,/mnt/hgfs/share/Final_Report.pdf
중간보고,1,/mnt/hgfs/share/Final_Report.pdf
동작,1,/mnt/hgfs/share/Final_Report.pdf
요청,1,/mnt/hgfs/share/Final_Report.pdf
이름,1,/mnt/hgfs/share/Final_Report.pdf
사이즈,1,/mnt/hgfs/share/Final_Report.pdf
타겟,1,/mnt/hgfs/share/Final_Report.pdf
한국,1,/mnt/hgfs/share/Final_Report.pdf
조건,1,/mnt/hgfs/share/Final_Report.pdf
대신,1,/mnt/hgfs/share/Final_Report.pdf
한도,1,/mnt/hgfs/share/Final_Report.pdf
일,1,/mnt/hgfs/share/Final_Report.pdf
주위,1,/mnt/hgfs/share/Final_Report.pdf
오랫동안,1,/mnt/hgfs/share/Final_Report.pdf
분야,1,/mnt/hgfs/share/Final_Report.pdf
거리,1,/mnt/hgfs/share/Final_Report.pdf
완성,1,/mnt/hgfs/share/Final_Report.pdf
상대,1,/mnt/hgfs/share/Final_Report.pdf
가용성,1,/mnt/hgfs/share/Final_Report.pdf
재구성,1,/mnt/hgfs/share/Final_Report.pdf
초래,1,/mnt/hgfs/share/Final_Report.pdf
전제,1,/mnt/hgfs/share/Final_Report.pdf
차이,1,/mnt/hgfs/share/Final_Report.pdf
수고,1,/mnt/hgfs/share/Final_Report.pdf
반대,1,/mnt/hgfs/share/Final_Report.pdf
실패,1,/mnt/hgfs/share/Final_Report.pdf
메시,1,/mnt/hgfs/share/Final_Report.pdf
목,1,/mnt/hgfs/share/Final_Report.pdf
선교,1,/mnt/hgfs/share/Final_Report.pdf
시스템,1,/mnt/hgfs/share/Final_Report.pdf
측정,1,/mnt/hgfs/share/Final_Report.pdf
추가,1,/mnt/hgfs/share/Final_Report.pdf
채널,1,/mnt/hgfs/share/Final_Report.pdf
만,1,/mnt/hgfs/share/Final_Report.pdf
접근,1,/mnt/hgfs/share/Final_Report.pdf
시뮬레이션,1,/mnt/hgfs/share/Final_Report.pdf
라우팅,1,/mnt/hgfs/share/Final_Report.pdf
생각,1,/mnt/hgfs/share/Final_Report.pdf
측면,1,/mnt/hgfs/share/Final_Report.pdf
조절,1,/mnt/hgfs/share/Final_Report.pdf
방치,1,/mnt/hgfs/share/Final_Report.pdf
비용,1,/mnt/hgfs/share/Final_Report.pdf
전화,1,/mnt/hgfs/share/Final_Report.pdf
자동,1,/mnt/hgfs/share/Final_Report.pdf
플랫폼,1,/mnt/hgfs/share/Final_Report.pdf
채,1,/mnt/hgfs/share/Final_Report.pdf
범위,1,/mnt/hgfs/share/Final_Report.pdf
완벽,1,/mnt/hgfs/share/Final_Report.pdf
대비,1,/mnt/hgfs/share/Final_Report.pdf
앞,1,/mnt/hgfs/share/Final_Report.pdf
교수,1,/mnt/hgfs/share/Final_Report.pdf
장착,1,/mnt/hgfs/share/Final_Report.pdf
경로,1,/mnt/hgfs/share/Final_Report.pdf
목차,1,/mnt/hgfs/share/Final_Report.pdf
최종,1,/mnt/hgfs/share/Final_Report.pdf
정,1,/mnt/hgfs/share/Final_Report.pdf
이웃,1,/mnt/hgfs/share/Final_Report.pdf
이상,1,/mnt/hgfs/share/Final_Report.pdf
구체,1,/mnt/hgfs/share/Final_Report.pdf
포함,1,/mnt/hgfs/share/Final_Report.pdf
주제,1,/mnt/hgfs/share/Final_Report.pdf
전파,1,/mnt/hgfs/share/Final_Report.pdf
대안,1,/mnt/hgfs/share/Final_Report.pdf
개발자,1,/mnt/hgfs/share/Final_Report.pdf
말하자면,1,/mnt/hgfs/share/Final_Report.pdf
컴파일러,1,/mnt/hgfs/share/Final_Report.pdf
안정,1,/mnt/hgfs/share/Final_Report.pdf
위험,1,/mnt/hgfs/share/Final_Report.pdf
키,1,/mnt/hgfs/share/Final_Report.pdf
중점,1,/mnt/hgfs/share/Final_Report.pdf
선택,1,/mnt/hgfs/share/Final_Report.pdf
발견,1,/mnt/hgfs/share/Final_Report.pdf
